G N M I OF
1 80 48 35 6954.94
1 80 48 36 9950.4
1 80 48 37 9581.6
1 80 48 38 8417.72
1 80 48 39 7485.52
1 80 48 40 7817.09
1 80 48 41 6866.67
1 80 48 42 8308.58
1 80 48 43 7696.19
1 80 48 44 8747.56
1 80 48 45 8566.76
1 80 48 46 8951.57
1 80 48 47 8936.34
1 80 48 48 9026.51
1 80 48 49 8380.95
1 80 80 0 19637.86
1 80 80 1 16403.84
1 80 80 2 15556.55
1 80 80 3 13874.83
1 80 80 4 16729.07
1 80 80 5 12615.22
1 80 80 6 15807.99
1 80 80 7 13067.07
1 80 80 8 15295.9
1 80 80 9 15940.95
1 80 80 10 16698.96
1 80 80 11 12876.31
1 80 80 12 15786.98
1 80 80 13 15171.19
1 80 80 14 15759.74
1 80 80 15 13630
1 80 80 16 16626.62
1 80 80 17 13527.33
1 80 80 18 14978.2
1 80 80 19 14658.74
1 80 80 20 15077.58
1 80 80 21 13113.9
1 80 80 22 15282.84
1 80 80 23 15359.66
1 80 80 24 15329.83
1 80 80 25 15491.05
1 80 80 26 14899.05
1 80 80 27 14223.2
1 80 80 28 11971.39
1 80 80 29 13637.86
1 80 80 30 14713.23
1 80 80 31 16641.99
1 80 80 32 14726.66
1 80 80 33 12974.33
1 80 80 34 16321.92
1 80 80 35 16316.07
1 80 80 36 13685.42
1 80 80 37 16262.68
1 80 80 38 15883.18
1 80 80 39 16689.63
1 80 80 40 16354.5
1 80 80 41 11739.4
1 80 80 42 15572.54
1 80 80 43 14561.31
1 80 80 44 16111
1 80 80 45 12399.9
1 80 80 46 13524.46
1 80 80 47 13832.62
1 80 80 48 16260.39
1 80 80 49 16546.28
2 100 100 0 244992.09
2 100 100 1 245961.47
2 100 100 2 215977.6
2 100 100 3 208384.54
2 100 100 4 213359.38
2 100 100 5 231932.01
2 100 100 6 220525.14
2 100 100 7 241204.94
2 100 100 8 238474.08
2 100 100 9 252218.22
2 100 100 10 240106.25
2 100 100 11 254775.21
2 100 100 12 236608.02
2 100 100 13 219867.22
2 100 100 14 277103.18
2 100 100 15 249369.46
2 100 100 16 217453.67
2 100 100 17 211048.68
