G N M I OF
2 100 140 11 320003.62
2 100 140 12 267194.97
2 100 140 13 370239.64
2 100 140 14 335628.51
2 100 140 15 328003.4
2 100 140 16 315916.41
2 100 140 17 347330.94
2 100 140 18 365117.93
2 100 140 19 355639.01
2 100 140 20 353998.41
2 100 140 21 354482.35
2 100 140 22 337013.53
2 100 140 23 297768.63
2 100 140 24 321477
2 100 140 25 330331.7
2 100 140 26 357205.19
2 100 140 27 304725.9
2 100 140 28 344708.34
2 100 140 29 324857.23
2 100 140 30 338020.03
2 100 140 31 352244.14
2 100 140 32 352784.88
2 100 140 33 383834.1
2 100 140 34 328401.14
2 100 140 35 338052.82
2 100 140 36 406743.14
2 100 140 37 317226.42
2 100 140 38 311270.39
2 100 140 39 277110.07
2 100 140 40 335144.34
2 100 140 41 328887.83
2 100 140 42 347236.92
2 100 140 43 345040.66
2 100 140 44 332494.67
2 100 140 45 371871.84
2 100 140 46 301980.37
2 100 140 47 315962.72
2 100 140 48 359178.19
2 100 140 49 329327.08
2 100 60 0 124900.46
2 100 60 1 139189.05
2 100 60 2 127628.36
2 100 60 3 180146.06
2 100 60 4 131867.89
2 100 60 5 136902.42
2 100 60 6 136756.59
2 100 60 7 158413.28
2 100 60 8 161922.59
2 100 60 9 127721.51
2 100 60 10 136566.59
2 100 60 11 149283.4
2 100 60 12 121755.51
2 100 60 13 143043.86
2 100 60 14 159731.02
2 100 60 15 138377.17
2 100 60 16 137806.89
2 100 60 17 147576.25
2 100 60 18 139377.13
2 100 60 19 152057.55
2 100 60 20 120492.62
2 100 60 21 111872.48
2 100 60 22 167183.48
2 100 60 23 126182.98
2 100 60 24 120909.36
2 100 60 25 136873.53
2 100 60 26 136022.25
2 100 60 27 156820.89
2 100 60 28 146413.42
2 100 60 29 161294.49
2 100 60 30 126997.32
2 100 60 31 128033.1
2 100 60 32 133353.67
2 100 60 33 113695.04
2 100 60 34 125410.94
2 100 60 35 144704.05
2 100 60 36 132243.99
2 100 60 37 130262.85
2 100 60 38 120761.97
2 100 60 39 173390.99
2 100 60 40 127473.24
2 100 60 41 142377.29
2 100 60 42 132025.05
2 100 60 43 140802.1
