G N M I OF
2 100 100 2 215977.6
2 100 100 3 208384.54
2 100 100 4 213359.38
2 100 100 5 231930.78
2 100 100 6 220505.94
2 100 100 7 241205.74
2 100 100 8 238487.24
2 100 100 9 252215.1
2 100 100 10 240115.85
2 100 100 11 254757.33
2 100 100 12 236606.98
2 100 100 13 219867.28
2 100 100 14 277103.18
2 100 100 15 249413.71
2 100 100 16 217502.84
2 100 100 17 211116.37
2 100 100 18 218777.98
2 100 100 19 254852.95
2 100 100 20 265426.34
2 100 100 21 218434.13
2 100 100 22 213417.23
2 100 100 23 215872.09
2 100 100 24 198091.76
2 100 100 25 248981.75
2 100 100 26 251455.06
2 100 100 27 206718.4
2 100 100 28 267125.73
2 100 100 29 241408.04
2 100 100 30 231552.17
2 100 100 31 210940.44
2 100 100 32 238894.54
2 100 100 33 244284.39
2 100 100 34 217292.81
2 100 100 35 245588.62
2 100 100 36 210728.05
2 100 100 37 234685.04
2 100 100 38 225920.97
2 100 100 39 244902.12
2 100 100 40 212692.55
2 100 100 41 229631.89
2 100 100 42 275754.33
2 100 100 43 202781.18
2 100 100 44 220783.7
2 100 100 45 216093.99
2 100 100 46 206054.48
2 100 100 47 214384.53
2 100 100 48 269778.53
2 100 100 49 240620
2 100 140 0 351807.67
2 100 140 1 354092.73
2 100 140 2 322811.58
2 100 140 3 303654.89
2 100 140 4 347865.83
2 100 140 5 314395.39
2 100 140 6 341177.73
2 100 140 7 349063.35
2 100 140 8 340327.95
2 100 140 9 337734.21
2 100 140 10 344193.81
2 100 140 11 312725.47
2 100 140 12 262575.2
2 100 140 13 363279.96
2 100 140 14 330100.06
2 100 140 15 320180.66
2 100 140 16 311242.93
2 100 140 17 341493.67
2 100 140 18 356473.97
2 100 140 19 349383.24
2 100 140 20 346590.43
2 100 140 21 349597.89
2 100 140 22 330086.63
2 100 140 23 293348.45
2 100 140 24 316474.15
2 100 140 25 323803.45
2 100 140 26 354095.3
2 100 140 27 301867.13
2 100 140 28 338196.37
2 100 140 29 320034.84
2 100 140 30 332568.66
2 100 140 31 346090.2
2 100 140 32 346397.41
2 100 140 33 376419.95
2 100 140 34 319950.35
2 100 140 35 330633.33
2 100 140 36 401479.55
2 100 140 37 311264.13
2 100 140 38 305429.48
2 100 140 39 271495.86
2 100 140 40 328534.2
2 100 140 41 321240.16
2 100 140 42 343589.81
2 100 140 43 338744.72
2 100 140 44 329075.56
2 100 140 45 367080.57
2 100 140 46 297007.69
2 100 140 47 308625.55
2 100 140 48 352960.48
2 100 140 49 321803.34
2 100 60 0 122940.98
2 100 60 1 137867.29
2 100 60 2 125408.14
2 100 60 3 177096.64
2 100 60 4 130461.85
2 100 60 5 134978.18
2 100 60 6 134132.8
2 100 60 7 156849.48
2 100 60 8 159539.04
2 100 60 9 125811.5
2 100 60 10 134119.12
2 100 60 11 147545.66
2 100 60 12 120464.35
2 100 60 13 141418.46
2 100 60 14 157664.84
2 100 60 15 136929.95
2 100 60 16 136093.74
2 100 60 17 145101.47
2 100 60 18 137560.23
2 100 60 19 149121.95
2 100 60 20 118361.82
2 100 60 21 110429.14
2 100 60 22 164095.92
2 100 60 23 124747.67
2 100 60 24 119100.01
2 100 60 25 133912.81
2 100 60 26 134197.29
2 100 60 27 154721.32
2 100 60 28 143285.37
2 100 60 29 159367.04
2 100 60 30 125176.52
2 100 60 31 126072.16
2 100 60 32 131315.13
2 100 60 33 112351.51
2 100 60 34 122756.75
2 100 60 35 143029.7
2 100 60 36 130487.38
2 100 60 37 128259.35
2 100 60 38 118917.69
2 100 60 39 170434.23
2 100 60 40 125627.2
2 100 60 41 140130.2
2 100 60 42 130844.98
2 100 60 43 139934.76
2 100 60 44 175966.67
2 100 60 45 128559.8
2 100 60 46 130446.44
2 100 60 47 128489.91
2 100 60 48 140771.35
2 100 60 49 129108.55
2 20 12 0 3357.91
2 20 12 1 3880.78
2 20 12 2 3811.5
2 20 12 3 6767.51
2 20 12 4 4733.07
2 20 12 5 3616.21
2 20 12 6 4152.02
2 20 12 7 3975.91
2 20 12 8 3644.28
2 20 12 9 7293.16
2 20 12 10 4764.47
2 20 12 11 5272.36
2 20 12 12 4365.18
2 20 12 13 5348.52
2 20 12 14 5948.87
2 20 12 15 4854.69
2 20 12 16 4814.4
2 20 12 17 5124.29
2 20 12 18 6276.85
2 20 12 19 3636.88
2 20 12 20 4265.47
2 20 12 21 5816.02
2 20 12 22 3905.19
2 20 12 23 4491.32
