G N M I OF
2 20 28 27 9796.39
2 20 28 28 12953.61
2 20 28 29 10170.85
2 20 28 30 13495.47
2 20 28 31 10809.78
2 20 28 32 11557.34
2 20 28 33 13764.88
2 20 28 34 10573.51
2 20 28 35 8286.68
2 20 28 36 11712.37
2 20 28 37 11965.53
2 20 28 38 13108.44
2 20 28 39 11626.21
2 20 28 40 10503.86
2 20 28 41 15002.83
2 20 28 42 12213.74
2 20 28 43 13377.01
2 20 28 44 11119.15
2 20 28 45 10881.04
2 20 28 46 12135.03
2 20 28 47 13254.29
2 20 28 48 13655.74
2 20 28 49 11724.92
2 40 24 0 20939.54
2 40 24 1 21467.35
2 40 24 2 22227.36
2 40 24 3 20065.05
2 40 24 4 13384.79
2 40 24 5 20083.25
2 40 24 6 21383.94
2 40 24 7 24609.41
2 40 24 8 23022.16
2 40 24 9 19062.61
2 40 24 10 20572.77
2 40 24 11 28776.06
2 40 24 12 16709.82
2 40 24 13 17446.63
2 40 24 14 18824.68
2 40 24 15 18795
2 40 24 16 14029.88
2 40 24 17 18914.86
2 40 24 18 22970.88
2 40 24 19 18074.72
2 40 24 20 20425.15
2 40 24 21 24670.24
2 40 24 22 16099.56
2 40 24 23 18129.78
2 40 24 24 19421.78
2 40 24 25 24479.23
2 40 24 26 20913.39
2 40 24 27 22538.27
2 40 24 28 21126.86
2 40 24 29 25673
2 40 24 30 17135.11
2 40 24 31 18529.54
2 40 24 32 20363.33
2 40 24 33 15396.07
2 40 24 34 19951.29
2 40 24 35 20771.68
2 40 24 36 21735.77
2 40 24 37 16222.25
2 40 24 38 21066.27
2 40 24 39 28605.41
2 40 24 40 16193.12
2 40 24 41 20501.27
2 40 24 42 18708.46
2 40 24 43 17990.32
2 40 24 44 16620.8
2 40 24 45 17418.46
2 40 24 46 18273.91
2 40 24 47 23814.47
2 40 24 48 14461.56
2 40 24 49 20143.36
2 40 40 0 33699.64
2 40 40 1 37824.33
2 40 40 2 34134.84
2 40 40 3 28370.75
2 40 40 4 38990.51
2 40 40 5 39388.12
2 40 40 6 41503.82
2 40 40 7 33220.22
2 40 40 8 46245.3
2 40 40 9 39958.76
2 40 40 10 31488.68
2 40 40 11 37754.6
