G N M I OF
2 100 60 45 130189.52
2 100 60 46 132624
2 100 60 47 129496.19
2 100 60 48 144208.27
2 100 60 49 131660.33
2 20 12 0 3373.28
2 20 12 1 3891
2 20 12 2 3824.31
2 20 12 3 6867.47
2 20 12 4 4785.56
2 20 12 5 3693.53
2 20 12 6 4126.42
2 20 12 7 4009.56
2 20 12 8 3558.27
2 20 12 9 7252.68
2 20 12 10 4771.51
2 20 12 11 5155.74
2 20 12 12 4301.64
2 20 12 13 5318.43
2 20 12 14 5952.58
2 20 12 15 4870.71
2 20 12 16 4599.2
2 20 12 17 5202.49
2 20 12 18 6128.47
2 20 12 19 3617.49
2 20 12 20 4184.47
2 20 12 21 5746.37
2 20 12 22 3880.64
2 20 12 23 4509.2
2 20 12 24 3581.51
2 20 12 25 2463.49
2 20 12 26 3520.05
2 20 12 27 4497.85
2 20 12 28 6366.12
2 20 12 29 4895.81
2 20 12 30 3360.88
2 20 12 31 4262.86
2 20 12 32 5239.32
2 20 12 33 2480.8
2 20 12 34 5213.27
2 20 12 35 3344.22
2 20 12 36 5893.13
2 20 12 37 3200.61
2 20 12 38 4960.65
2 20 12 39 4419.72
2 20 12 40 4588.56
2 20 12 41 5235.21
2 20 12 42 4525.53
2 20 12 43 5227.21
2 20 12 44 4475.48
2 20 12 45 4548.79
2 20 12 46 5433.04
2 20 12 47 5896.83
2 20 12 48 4341.2
2 20 12 49 2165.85
2 20 20 0 6411.19
2 20 20 1 9915.83
2 20 20 2 6621.03
2 20 20 3 8799.93
2 20 20 4 6182.6
2 20 20 5 6024.2
2 20 20 6 6997.87
2 20 20 7 11956.26
2 20 20 8 9629.43
2 20 20 9 6558.1
2 20 20 10 9510.91
2 20 20 11 5754.94
2 20 20 12 8410.01
2 20 20 13 7593.9
2 20 20 14 9804.49
2 20 20 15 7900.63
2 20 20 16 8884.1
2 20 20 17 7741.99
2 20 20 18 7868.19
2 20 20 19 8619.64
2 20 20 20 5622.4
2 20 20 21 7661.97
2 20 20 22 5160.62
2 20 20 23 8986.73
2 20 20 24 7298.96
2 20 20 25 5805.38
2 20 20 26 8444.09
2 20 20 27 7305.75
2 20 20 28 5949.32
2 20 20 29 10445.52
2 20 20 30 12205.54
2 20 20 31 7567.53
2 20 20 32 4554.45
2 20 20 33 7903.56
2 20 20 34 7959.22
2 20 20 35 8451.39
2 20 20 36 6550.22
2 20 20 37 7838.36
2 20 20 38 7535.65
2 20 20 39 6579.75
2 20 20 40 4950.44
2 20 20 41 7096.5
2 20 20 42 10143.2
2 20 20 43 7799.28
2 20 20 44 5616.38
2 20 20 45 7478.33
2 20 20 46 8609.77
2 20 20 47 9363
2 20 20 48 6894.82
2 20 20 49 8393.19
2 20 28 0 12491.7
2 20 28 1 11787.12
2 20 28 2 9436.54
2 20 28 3 12859.51
2 20 28 4 14442.51
2 20 28 5 10489.92
2 20 28 6 18197.25
2 20 28 7 15891.81
2 20 28 8 10191.29
2 20 28 9 10176.69
2 20 28 10 12266.1
2 20 28 11 12863.15
2 20 28 12 10973.62
2 20 28 13 12586.21
2 20 28 14 14004
2 20 28 15 12070.16
2 20 28 16 13888.65
2 20 28 17 10464.27
2 20 28 18 12656.02
2 20 28 19 13568.84
2 20 28 20 12689.89
2 20 28 21 13313.01
2 20 28 22 8782.07
2 20 28 23 9866.28
2 20 28 24 11903.02
2 20 28 25 7485.28
2 20 28 26 10752.37
2 20 28 27 9691.21
2 20 28 28 12783.53
2 20 28 29 10038.26
2 20 28 30 13112.83
2 20 28 31 10671.48
2 20 28 32 11333.01
2 20 28 33 13113.47
2 20 28 34 10350.12
2 20 28 35 8089.8
2 20 28 36 11655.84
2 20 28 37 11802.98
2 20 28 38 13130.45
2 20 28 39 11925.59
2 20 28 40 10525.44
2 20 28 41 14774.53
2 20 28 42 11820.04
2 20 28 43 12576.18
2 20 28 44 10968.08
2 20 28 45 10863.03
2 20 28 46 11966.43
2 20 28 47 13559.98
2 20 28 48 13408.09
2 20 28 49 11262.11
2 40 24 0 20934.18
2 40 24 1 21288.69
2 40 24 2 22166.11
2 40 24 3 20291.06
2 40 24 4 13087.8
2 40 24 5 19330.29
2 40 24 6 20965.03
2 40 24 7 24947.19
2 40 24 8 23190.9
2 40 24 9 19078.62
2 40 24 10 20616.57
2 40 24 11 28675.71
2 40 24 12 16381.21
2 40 24 13 17656.61
2 40 24 14 18414.74
2 40 24 15 18609.82
2 40 24 16 13571.47
2 40 24 17 19498.22
2 40 24 18 23036.21
2 40 24 19 18188.85
2 40 24 20 20125.89
2 40 24 21 24663.23
2 40 24 22 15797.49
2 40 24 23 18248.99
2 40 24 24 19218.37
2 40 24 25 24718.25
2 40 24 26 20467.09
2 40 24 27 22450.63
2 40 24 28 21003.63
2 40 24 29 25734.93
2 40 24 30 17079.7
2 40 24 31 18500.2
2 40 24 32 20338
2 40 24 33 15144.76
2 40 24 34 19684.35
2 40 24 35 21215.25
2 40 24 36 21945.77
2 40 24 37 15993.4
2 40 24 38 20921.42
2 40 24 39 28700.85
2 40 24 40 16172.03
2 40 24 41 20249.19
2 40 24 42 18657.52
2 40 24 43 17872.8
2 40 24 44 16550.03
2 40 24 45 17127.36
2 40 24 46 17942.63
2 40 24 47 23651.45
2 40 24 48 14226.19
2 40 24 49 20068.27
2 40 40 0 33334.44
2 40 40 1 37280.81
2 40 40 2 34000.86
2 40 40 3 28113
2 40 40 4 38689.22
2 40 40 5 39309.45
2 40 40 6 41739.74
2 40 40 7 33076.6
2 40 40 8 46310.36
2 40 40 9 40543.06
2 40 40 10 30816.68
2 40 40 11 37432.79
2 40 40 12 40618.22
2 40 40 13 35779.99
2 40 40 14 36726.84
2 40 40 15 41988.59
2 40 40 16 26716.96
2 40 40 17 33424.9
2 40 40 18 32983.36
2 40 40 19 33452.28
2 40 40 20 38842.87
2 40 40 21 42910.8
2 40 40 22 33473.72
2 40 40 23 33960.05
2 40 40 24 41385.79
2 40 40 25 32973.45
2 40 40 26 39699.63
2 40 40 27 37850.44
2 40 40 28 33777.15
2 40 40 29 41242.76
2 40 40 30 26284.93
2 40 40 31 36666.86
2 40 40 32 44981.52
2 40 40 33 36543.72
2 40 40 34 27455.52
2 40 40 35 30910.75
2 40 40 36 28083.2
2 40 40 37 34165.76
2 40 40 38 32420.67
2 40 40 39 32900.14
2 40 40 40 33133.38
2 40 40 41 47205.7
2 40 40 42 38166.35
2 40 40 43 36147.74
2 40 40 44 29166.21
2 40 40 45 30787.15
2 40 40 46 31580.69
2 40 40 47 34997.96
2 40 40 48 39276.89
2 40 40 49 40318.57
2 40 56 0 41673.68
2 40 56 1 48465.61
2 40 56 2 47323.46
2 40 56 3 44707.72
2 40 56 4 51288.55
2 40 56 5 53190.37
2 40 56 6 47186.51
